"Moment","Concepts","Agency","Social"
"I bought and currently playing The Legend of Zelda Breath of the Wild and enjoying it very much.","entertainment","yes","no"
"I talked myself out of a speeding ticket.","conversation","yes","no"
"The network went down at work and I got to go home early.","career","no","no"
"Going for a long cycling ride and enjoying today's sunny weather.","weather|exercise","yes","no"
"I got an award for the most outstanding employee of the month last month and that made me happy.","career","no","yes"
"My brother-in-law came to visit and we played golf and got drunk.","family","yes","yes"
"I found a raccoon snoozing in a cubbyhole above our backyard awning, and she let me take her picture.","animals","yes","no"
"I got a picture of another raccoon sleeping in a cubbyhole above our backyard awning, and the little guy just stretched and yawned, not bothered by me at all.","animals","yes","yes"
"Making a delicious dinner last night consisting of a steak and cheese sub and kale chips made me happy.","food","yes","no"
"I fixed the faucet so the water runs more smoothly.","exercise","yes","no"
"Having a Sunday off a couple of weeks ago made me happy because I was able to hang out with my girlfriend and another friend at a few bars and enjoy nice weather.","romance|weather","yes","yes"
"My dog throwing her pink alien toy around.","animals","no","no"
"I had some french silk pie last night that was delicious.","food","yes","no"
"In the past 3mth I got a increment in my job n my pay was increase more then I expected .i was very happy","career","no","no"
"I got to meet one of my all-time favorite singers backstage at a concert I attended.","entertainment","no","yes"
"I was able to finally get the courage up to fix the valve cover gasket on my car.","technology","yes","no"
"the moment i go out to store to buy an ice cream","shopping|food","yes","no"
"I made Las Vegas hotel reservations for this fall last night!","vacation","yes","no"
"The office I work in received a free meal.","career|food","no","no"
"i was able to finish of my work and left for home before my usual time.","career","yes","no"
"I found out that my boyfriend and I were going to china together for a month in the summer","romance|vacation","yes","no"
"My second son was born last month and his safe arrival made me very happy.","family","no","yes"
"My spouse got a promotion","career","no","yes"
"Watching a couple new movies that I had been wanting to see.","entertainment","yes","no"
"our social group conducted a awareness program about yoga and the need of exercise meditation and the program went well got a chance to perform a program in another place","exercise","yes","no"
"I watched my favorite basketball team play last night.","entertainment","yes","yes"
"Got a mail to join on-site project from next month and also i am offered with the a luxurious car as a gift from my client.","career","no","yes"
"My parents got home with my dinner, and I was really hungry.","food|family","yes","yes"
"I finally found the woman who mattered most to me in my life, and so I traveled halfway around the world just to find her again.","romance","yes","yes"
"My son & his new wife made me a Mothers Day brunch this past Sunday which was really nice & delicious also.","family|food","no","yes"
"I hit a straight flush while playing poker.","entertainment","no","no"
"I am happy because I saw my cousin get married.","romance","no","yes"
"I was very familiar with playing guitar after several days of training.","weather","yes","no"
"A big soccer game is taking place tomorrow between Manchester United and Ajax, and I just discovered that I will be able to watch it from work.","entertainment","yes","no"
"My son agreed to mow the lawn.","family","no","yes"
"My daughter wore an appropriate outfit that was cute and looked great on her.","family","no","yes"
"My girlfriend told me that she loved me for the first time.","romance","no","yes"
"I saved up enough money for a game I really wanted","entertainment|shopping","yes","no"
"My child secured a summer internship.","family","no","yes"
"I went to Natural Foods Store and got some Natural Vitamins and supplements for my mom and some nice teas that help with anxiety and stress.","food","yes","yes"
"Hosting my 4 year old nephew's first all-boys sleep over and letting them run a muck.","family","yes","yes"
"I won $50 on a scratch-off lottery ticket my husband bought me.","family","no","yes"
"I have been hitting my daily quota goals for the last week.","career","yes","no"
"I got to workout without having to worry about working at the same time.","exercise","yes","no"
"When I went on vacation for a week in Florida.","vacation|entertainment","yes","no"
"i felt happy today when my favorite show came on and my roommates all watched it with me.","entertainment","yes","yes"
"In 2008 I felt some much excitement when I accepted into the air force","education","no","no"
"My cat came cuddling to me last evening when I reached home and just sat in my lap for hours","animals","no","no"
"Watching my younger child aged 3 performing in a dance competition for the first time.","entertainment|family","yes","yes"
"Last week, I went to a restaurant with my friend and we had a good meal.","food","yes","yes"
"I had a great dinner date with my boyfriend.","romance|food","yes","yes"
"My daughter getting into the crawling position and watching her rock back and forth, trying to figure it out.","family","no","yes"
"At work, I established a new vendor as one of our preferred partners.","career","yes","yes"
"I got my brother to his lab appointment on time this afternoon.","family","yes","yes"
"I got to have my kids for the night after I got out of class.","education|family","yes","yes"
"At a leadership training event the facilitator told a very funny joke about ""basic moms of suburbia."" ","conversation","no","yes"
"I was able to afford the apartment of my dreams.","shopping","yes","no"
"My friend gave me free tickets to a music festival for a weekend and they ended up being VIP tickets so we go to be treated like VIPs, for free.","entertainment","no","yes"
"We celebrated my twin 2 year old's birthdays.","party|family","yes","yes"
"The weather was super nice earlier today, nice and sunny instead of cold and cloudy/rainy","weather","no","no"
"I spent some time with my mom","family","yes","yes"
"Upgraded my old phone that I had for 3 years, to a new iPhone, which is faster and has many more features.","technology","yes","no"
